Category,Metric Type (Internal ID),Display Label,Current Short Label,Your Preferred Abbreviation
Payments Weekly,payment_cash_wtd,Cash WTD,Cash,
Payments Weekly,payment_credit_card_wtd,Credit Card WTD,CC,
Payments Weekly,payment_olo_doordash_wtd,DoorDash WTD,DD,
Payments Weekly,payment_olo_ubereats_wtd,UberEats WTD,UE,
Payments Weekly,payment_olo_visa_wtd,OLO Visa WTD,OLO V,
Payments Weekly,payment_olo_mastercard_wtd,OLO MC WTD,OLO MC,
Payments Weekly,payment_olo_prepaid_wtd,OLO Prepaid WTD,Prepaid,
Payments Weekly,payment_olo_giftcard_wtd,OLO GC WTD,OLO GC,
Payments Weekly,payment_svs_giftcard_wtd,SVS GC WTD,SVS GC,
Payments Weekly %,payment_cash_wtd_pct,Cash % WTD,Cash%,
Payments Weekly %,payment_credit_card_wtd_pct,CC % WTD,CC%,
Payments Weekly %,payment_olo_doordash_wtd_pct,DD % WTD,DD%,
Payments Weekly %,payment_olo_ubereats_wtd_pct,UE % WTD,UE%,
Payments Weekly %,payment_olo_visa_wtd_pct,OLO V % WTD,V%,
Payments Weekly %,payment_olo_mastercard_wtd_pct,OLO MC % WTD,MC%,
Payments Weekly %,payment_olo_prepaid_wtd_pct,Prepaid % WTD,Pre%,
Payments Weekly %,payment_olo_giftcard_wtd_pct,OLO GC % WTD,OGC%,
Payments Weekly %,payment_svs_giftcard_wtd_pct,SVS GC % WTD,SGC%,
Payments Monthly,payment_cash_mtd,Cash MTD,Cash,
Payments Monthly,payment_credit_card_mtd,Credit Card MTD,CC,
Payments Monthly,payment_olo_doordash_mtd,DoorDash MTD,DD,
Payments Monthly,payment_olo_ubereats_mtd,UberEats MTD,UE,
Payments Monthly,payment_olo_visa_mtd,OLO Visa MTD,OLO V,
Payments Monthly,payment_olo_mastercard_mtd,OLO MC MTD,OLO MC,
Payments Monthly,payment_olo_prepaid_mtd,OLO Prepaid MTD,Prepaid,
Payments Monthly,payment_olo_giftcard_mtd,OLO GC MTD,OLO GC,
Payments Monthly,payment_svs_giftcard_mtd,SVS GC MTD,SVS GC,
Payments Monthly %,payment_cash_mtd_pct,Cash % MTD,Cash%,
Payments Monthly %,payment_credit_card_mtd_pct,CC % MTD,CC%,
Payments Monthly %,payment_olo_doordash_mtd_pct,DD % MTD,DD%,
Payments Monthly %,payment_olo_ubereats_mtd_pct,UE % MTD,UE%,
Payments Monthly %,payment_olo_visa_mtd_pct,OLO V % MTD,V%,
Payments Monthly %,payment_olo_mastercard_mtd_pct,OLO MC % MTD,MC%,
Payments Monthly %,payment_olo_prepaid_mtd_pct,Prepaid % MTD,Pre%,
Payments Monthly %,payment_olo_giftcard_mtd_pct,OLO GC % MTD,OGC%,
Payments Monthly %,payment_svs_giftcard_mtd_pct,SVS GC % MTD,SGC%,
